comments,appid,username,nickname,postcode,address,gender,province,job,income,education,industry,res
appid为空,,qatest1,,,,,,,,,,10002
appid错误,wrongappid,qatest1,,,,,,,,,,10002
username为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,,,,,,,,,,,10003
username不存在,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,testnothere,,,,,,,,,,10009
nickname非法字符,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,nickname#$,,,,,,,,,10011
postcode非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,post#$,,,,,,,,10011
postcode非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,123,,,,,,,,10011
address非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,address@#$,,,,,,,10011
gender非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,0,,,,,,10011
gender非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,3,,,,,,10011
gender非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,#$,,,,,,10011
province非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,,0,,,,,10011
province非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,,99,,,,,10011
province非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,,$%,,,,,10011
job非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,,,0,,,,10011
job非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,,,10,,,,10011
job非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,,,$%,,,,10011
income非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,,,,0,education,industry,10011
income非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,,,,$%,education,industry,10011
income非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,,,,9,education,industry,10011
education非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,,,,0,,,10011
education非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,,,,10,,,10011
education非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,,,,#$,,,10011
industry非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,,,,,,0,10011
industry非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,,,,,,13,10011
industry非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,,,,,,,,#$,10011
成功,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,qa,510006,joyganmes,1,1,1,1,1,1,10001
