comments,appid,username,res
appid为空,,qatest1,10002
appid错误,wrongappid,qatest1,10002
appid正确且成功,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,10001
username为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,,10003
username不存在,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,testnone,10009
username非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,test#$%,10003
username非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,test,10003
username非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,1234567890123456789012345,10003
username非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,1234test,10003
username非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,中文账号,10003
username正确且成功,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,10001
